amount,amountUSD,asset,timestamp
40000000000000,39992000,USDC,1755636587
40000000000000,39991823.2,USDT,1763082335
40000000000000,39991629.6,USDT,1690933787
40000000000000,39988222,USDC,1758841175
40000000000000,39945852.4,USDT,1763729087
16092991972661199229276,39827798.410220023695798167905456,WETH,1749215639
15000000000000000000000,39608850,WETH,1748418587
39000000000000,38996999.73,USDC,1722285911
9390317644105462498038,38106028.10957386629683827711336416,wstETH,1732606331
10000000000000000000000,37553100,WETH,1753584683
10000000000000000000000,36321510.3131,WETH,1736017103
9128775901000000000000,35742356.89446162037185,WETH,1761049967
13500000000000000000000,35637281.8425,WETH,1729264703
10452721842597757380332,35549393.40501969491778772204,WETH,1762430255
9128775901000000000000,35543421.89679576722672,WETH,1761049079
35000000000000,34988817.15,USDC,1767217979
34853313118208,34851918.98568327168,USDC,1729082939
10250000000000000000000,34809710.8375,WETH,1732684727
10000000000000000000000,34561200,WETH,1735074563
12500000000000000000000,34374543.9625,WETH,1740108779
12500000000000000000000,34374543.9625,WETH,1740108779
12500000000000000000000,34374543.9625,WETH,1740108779
12500000000000000000000,34011638.05,WETH,1748500307
12500000000000000000000,34011638.05,WETH,1748500307
10000000000000000000000,33906660,WETH,1735416383
9938922174023454789444,33643274.4185903947162139557212,WETH,1734709955
33228878140115,33219929.6032318670305,USDC,1766982287
33000000000000000000000000,33021780,USDe,1755334235
10000000000000000000000,32769491.1722,WETH,1767710999
17000000000000000000000,32296889.22151,WETH,1746684239
12000000000000000000000,31997520,WETH,1729556519
13000000000000000000000,31988060,WETH,1705878095
10600000000000000000000,31550388.124304,WETH,1766161787
12657885331881162324768,31541655.583585260405394835162232,WETH,1749279731
10000000000000000000000,31538500,WETH,1714064507
20000000000000000000000,31375436,WETH,1697563715
8000000000000000000000,31321285.40048,WETH,1710031547
9346922395317944526868,31306616.940530750631219544008736,WETH,1735322699
16095578144875995395267,31250369.74718398885968064385,WETH,1742242547
10000000000000000000000,31198400,WETH,1765217219
31073228450332,31075063.01373970760128,USDT,1765391687
15000000000000000000000,30985107,WETH,1700780279
31000000000000,30984500,USDT,1762516559
30656189759488,30654963.51189762048,USDC,1729082939
9000000000000000000000,30217230,WETH,1737372431
19500000000000000000000,30192911.96961,WETH,1697115899
30019000000000,30015697.91,USDC,1755511979
30000000000000,29999400,USDT,1757572823
30000000000000,29993700,USDC,1762924643
30000000000000,29971412.4,USDT,1763662667
30000000000000,29971412.4,USDT,1763661827
15706000000000000000000,29941290.16,WETH,1741764923
17581876376945842507642,29808840.66576528976273147606,WETH,1745336315
10000000000000000000000,29258752.7943,WETH,1767014339
29249377617598,29251021.14012633283162,USDT,1758759431
10000000000000000000000,29092880.9637,WETH,1731014387
11080000000000000000000,29046330.8,WETH,1739902751
15365000000000000000000,29021172.1511208,WETH,1699164791
29000000000000,28998840,USDC,1743514103
28903100820202,28904724.88543708715038,USDT,1758759755
10500000000000000000000,28874616.9285,WETH,1740108779
