account,amountUSD,asset,id
0x50fc9731dace42caa45d166bff404bbb7464bf21,104975769.15,USDC,0x7040bf6ce1408c99167f7212d2c4feef6549268f950134aead991c774dd561c9c302000002000000
0xf0bb20865277abd641a307ece5ee04e79073416c,101667865.9446,WETH,0x9b1e553129d29da6dece51a50219b1f74d8e34c082f0443146726e17daaaa1ce5700000002000000
0xf0bb20865277abd641a307ece5ee04e79073416c,101667865.9446,WETH,0x9b1e553129d29da6dece51a50219b1f74d8e34c082f0443146726e17daaaa1ce3d00000002000000
0xf0bb20865277abd641a307ece5ee04e79073416c,101259497.9508,WETH,0x744955da54daf75b9d30f6c648f685e3921e45f6cdc17aa695d1314aaf0f6cfd0201000002000000
0x7cd0b7ed790f626ef1bd42db63b5ebeb5970c912,99968049,USDC,0x0e49f702d76a61bbb08344bc0d0ee7ce838f30e3a677f253625a3a1f39c1b45c1b01000002000000
0x517ce9b6d1fcffd29805c3e19b295247fcd94aef,99956374,USDT,0x1eadd3524395b36093ebe8adc1a7edb687178e6af3402471a7cc6017454338fc9b03000002000000
0x7ee29373f075ee1d83b1b93b4fe94ae242df5178,96188887.4837541522792,USDT,0x54fa78b045b3cbddad15681b217f84745e7efe23fb097e5be5dd13197926ec377203000002000000
0x7ee29373f075ee1d83b1b93b4fe94ae242df5178,96182928.61428926880624,USDT,0x54fa78b045b3cbddad15681b217f84745e7efe23fb097e5be5dd13197926ec373f03000002000000
0x7ee29373f075ee1d83b1b93b4fe94ae242df5178,96117342.32802953006928,USDT,0x54fa78b045b3cbddad15681b217f84745e7efe23fb097e5be5dd13197926ec370c03000002000000
0x7ee29373f075ee1d83b1b93b4fe94ae242df5178,95395466.983968324624,USDT,0x54fa78b045b3cbddad15681b217f84745e7efe23fb097e5be5dd13197926ec37d902000002000000
0xdb802c7c6b7cc1c0e8474bb7eb80bbc569763de5,94984799.00016,USDC,0x1e5c4ac3c693a8002a634d6d3c83ae0d2a20924d0e98e8b164dde2fbe8c7d84cca01000002000000
0xef992050dff61225ba6fb6018a106a6e2b2569a3,92897995.74950714395217607977927516,wstETH,0xc7f76bbc52960c5fc852170afd0ac2168e0cfda96d339980b891d72169be1c312402000002000000
0xf0bb20865277abd641a307ece5ee04e79073416c,90158381.495,WETH,0x658e954cfcc14a41009ff43867d28fbfeac69d0c07dbaea4a405d2e697d9caebb400000002000000
0x7ee29373f075ee1d83b1b93b4fe94ae242df5178,87450147.2825516904616,USDT,0x54fa78b045b3cbddad15681b217f84745e7efe23fb097e5be5dd13197926ec37a602000002000000
0xd48573cda0fed7144f2455c5270ffa16be389d04,86295530,WETH,0x665d98ed79f953724d7e6f00df7cf0b1fc6f72eb7dc3e0c73e33ee04a886ea706400000002000000
0x7c697d6cff279f3f9c2401d0ea2ac7e7ede0e2c3,85005950,USDT,0xf0162831ac58e8fca04a018cbd99df2d535906dfbbe69609924ec039c23b463a9802000002000000
0xfaf1358fe6a9fa29a169dfc272b14e709f54840f,79992409.6,USDT,0x0652e52ee5809bd1740f6c65722045e20e92c0c84b0fb8337f16a8a411e2d8464701000002000000
0x5be9a4959308a0d0c7bc0870e319314d8d957dbb,79983656.8,USDC,0xf2bf67a99124fa86f2ce9faabb28148a1dda7d08ce39e491070f876052d128ad2901000002000000
0xf0bb20865277abd641a307ece5ee04e79073416c,77278612.71,WETH,0x658e954cfcc14a41009ff43867d28fbfeac69d0c07dbaea4a405d2e697d9caebcb00000002000000
0xf0bb20865277abd641a307ece5ee04e79073416c,74713525.7,WETH,0x9c75ea10f02f56c6ef1d7ec0b32b14000bc0f76152eaa76d201949aa742dbd5c3b00000002000000
0x7cd0b7ed790f626ef1bd42db63b5ebeb5970c912,72026788.4538426685328,PYUSD,0xb4fd93fb0229b7552eb47e76e403613da58eada98ac391f97fb6fcc8352a74a28600000002000000
0xf6fd12fbf8bbe0e08ac739c3634cd1cb21acf5e9,70008673.7,USDT,0xb1bc86057fcbd80c27d24c3cfb34cfaceceaec2d7e6297e106942ab2c4dcaa9d5500000002000000
0x5877626d3cdc57317d861207244a4eea28decf9e,68456929.47984,WETH,0x5dcbcf8f4e1c0012d25eaa960079e00a0ca3b367d2016dd027ac752eff215a4cb301000002000000
0xf0bb20865277abd641a307ece5ee04e79073416c,67921387,WETH,0x9c75ea10f02f56c6ef1d7ec0b32b14000bc0f76152eaa76d201949aa742dbd5c6500000002000000
0xf0bb20865277abd641a307ece5ee04e79073416c,67921387,WETH,0x9c75ea10f02f56c6ef1d7ec0b32b14000bc0f76152eaa76d201949aa742dbd5c5000000002000000
0x659195fb6c4d77cf116564cb6487d2effd60bce3,65650977.69599215405730537255375316,wstETH,0xf4fcb62f263bafeb91d5e6256dd0070925a737562dc90935be50d137139402733900000002000000
0x659195fb6c4d77cf116564cb6487d2effd60bce3,64072575.480474,wstETH,0xa46c6f7900de27969e34744a1a410868127893a7158d928eaa117ce77c94958b8d01000002000000
0x9600a48ed0f931d0c422d574e3275a90d8b22745,62176306.6781224764664968003744,WETH,0xa62587a9cc1f9aee2cd29f9522e9245ca5a37bedfcff1d1036c20b14900a16032d00000002000000
0x9600a48ed0f931d0c422d574e3275a90d8b22745,61031852.64,WETH,0xfbe09eb78e2480c7118f3e3d75d4b42d055a407505a0c08515edf9984ef0aafe8000000002000000
0xf744f66621df59861fe621444e473b595bb83ad4,59995530,USDT,0x24034c31b2c1a6d2ea26ab5181cd5575c685c16f36d25dc31db357a8bd20176ba200000002000000
0xe5c248d8d3f3871bd0f68e9c4743459c43bb4e4c,59989545,USDT,0x7a61a944e6a106323eae784b7efecfdf3ee77e17ee6d4d5c16bf762309695b36a600000002000000
0x517ce9b6d1fcffd29805c3e19b295247fcd94aef,59925634.2,USDT,0xc371fa3361120a4ed344fedca7506574acb3960efa3ade3ea82d8a274e9b6ed6bd02000002000000
0x659195fb6c4d77cf116564cb6487d2effd60bce3,58995450.47399315531941502330484858,wstETH,0xe121ba343edc12df2cb1b4e156327f3e1ac1afc66bef170fb137e4d5bbc4bd326200000002000000
0xc1eb0f2ed5c381c88e7c1d16b7d1d226b2143a52,56550301.81926349453248178911430971,WETH,0xbf77f545bf090f53414fb86485037cecdb97e25d421c735f144df0526c0eb7798d01000002000000
0x99e7a28793de26a45db79dcd142e926e5d6ebd4f,56522246.5271441808387620772282,WETH,0xebad2eb062658d34ea7d87659484997dbe70f877850bb0c8496f78140a3f4a888000000002000000
0x40e93a52f6af9fcd3b476aedadd7feabd9f7aba8,55815115.68003065197356612870926605,wstETH,0x9480eb372b3ba21c73081a7a66768d935ab9beffcd3556321820e7aabfdcdb781700000002000000
0x9600a48ed0f931d0c422d574e3275a90d8b22745,55324778.68086957619424272602915754,WETH,0xb8e38968b11f0c79e03e3b534de001b8b979bf31486f441314a520f5f1c0cbe8cf00000002000000
0x659195fb6c4d77cf116564cb6487d2effd60bce3,53003165.27131267858733314595878656,wstETH,0x71434442d34d0e4c2fb934e11851fa9e8d6f3b09e9ec7eae6d1d11129bfc0f656600000002000000
0xb745b681db7b2d254e8c98624bef13681305cad9,52944970,WETH,0x28cb9edb9132d3cfc31fb8db25b9b02503529ad80f52adc827792f6e334bc16a2000000002000000
0xf0bb20865277abd641a307ece5ee04e79073416c,52811800,WETH,0x4b103a2a261704e6f395b12077b253ba1872ae93f54d6c7472e780608af9e4d11e01000002000000
0x40e93a52f6af9fcd3b476aedadd7feabd9f7aba8,51612892.1796053302691552423629017,wstETH,0x3efbf5516ca2925bdd91a67353217d401d146137d445273453f8d4a52f213c8d1700000002000000
0xffefa70b6deaab975ef15a6474ce9c4214d82b02,50015750,USDT,0x70313fee5aa17a3fc0138d51d1da08059ee7fbe046677e0a367104ae3c8fc1d4e800000002000000
0x4116812b89749563d40b0ffc187db7ce668711cb,50006195.5,USDT,0x61a72057039f9e084f937326b97eaa848c999d28ccc7bcb744830a20e767d1a0b701000002000000
0xe5c248d8d3f3871bd0f68e9c4743459c43bb4e4c,49991287.5,USDT,0xa361d1f5b6d5344bcd47cd1cfe4c936039d8e189d83f81fec555e99b3aed093ca900000002000000
0xfaf1358fe6a9fa29a169dfc272b14e709f54840f,49989779,USDT,0xb950e937fea6a41bbb4f12a408994227d90ce9e84827b01177e27c91f192f049b601000002000000
0x85e05c10db73499fbdecab0dfbb794a446feeec8,49989500,USDC,0xd0e107baa996719c8f279d222ba312a2a838553df273029f291655a7a0273ffbeb00000002000000
0x85e05c10db73499fbdecab0dfbb794a446feeec8,49952354,USDT,0x1ce27eacc9c12011e539a1ac8a725c46331429dce383f4b8ed2fa9a641ede390cf00000002000000
0x7096b47de3b272d4349189572903f343c4a952db,49847713.55902860258959722987315456,WETH,0x0b6e6d95b021d0819870fb1fd21db456de732e53e1d26572d34e4d6a5c8932fffd00000002000000
0xf0bb20865277abd641a307ece5ee04e79073416c,49707662.7879,WETH,0xa615c611630e9dc74f61325eec722ab202c861775c0c826904ff1d417aab6e920f01000002000000
0xf0bb20865277abd641a307ece5ee04e79073416c,48943121.383,WETH,0x658e954cfcc14a41009ff43867d28fbfeac69d0c07dbaea4a405d2e697d9caeb9d00000002000000
0x6761826e71fa2f47fbd2db2eb9f94fbbd49a9e8a,48706870.578236061,wstETH,0xdee94f6b4a6a3987ce8052facbf2569581ae992e9c1f38faa5e350cddcc5f9d2b001000002000000
0xf0bb20865277abd641a307ece5ee04e79073416c,47046750,WETH,0x73287e80c50e567c2a64d4ca491fcf7af55542574dd70a0460c3319e0d94c2015c01000002000000
0x6761826e71fa2f47fbd2db2eb9f94fbbd49a9e8a,46277287.46116,wstETH,0x8ed4dfdf0ecc34c23130c7142d77911560e9ead80c1ccdc4741031962980c50ef301000002000000
0xef992050dff61225ba6fb6018a106a6e2b2569a3,45362694.1474602599568479037163962,wstETH,0x89f04f0517a092755f548ba95abb57e2170f42bd9fa915910eec345c439db43c3003000002000000
0x659195fb6c4d77cf116564cb6487d2effd60bce3,45254239.36484944372299514655633402,wstETH,0x5fb9900a21f857e26aa5611ed870d3cc64f048be34c3ed15352d3322614c4bde2e00000002000000
0x517ce9b6d1fcffd29805c3e19b295247fcd94aef,44996647.5,USDT,0x7a087495104c586b3f2201b23f43c28c2e0eaf12f0c1543688838b4d9ff22de8ab01000002000000
0x58e70d8bed174643fb5f177e3f0ab2cfe689487d,44673300,WETH,0x31e324dd7903c71d84093907a1b7d65ede63f8d72f126351d5ac6de9be9a0e7af401000002000000
0x893aa69fbaa1ee81b536f0fbe3a3453e86290080,44217492.32,WETH,0xa45410cb32d82a2d87db2868ca735d977636d1dfbb75f056a872bc16d6cd4b80d000000002000000
0x6761826e71fa2f47fbd2db2eb9f94fbbd49a9e8a,42644961.47826,wstETH,0xc4a0a4d7e09077bea94ac7633161a6e6715a9b4d135ee07f21b4587bce09d3bfe201000002000000
0xf0bb20865277abd641a307ece5ee04e79073416c,42361610.81025,WETH,0x730ee63c0d7c9b39344fb176d516f9e600c5f165eb6011f785c29360baac455a4f00000002000000
0x9600a48ed0f931d0c422d574e3275a90d8b22745,42306305.57574111951842397648,WETH,0xe5c03de25dbd75b633fec2408c028f0ae0e51f021ff3821def5229b252d2d71d0f00000002000000
